GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
refactoring-core,uma.master.isia.refactoring,ExceptionAnnotator.new ASTVisitor() {...},0,26,0,0,0,5,0,3,0,3
refactoring-core,uma.master.isia.refactoring,ForEachMarkerVisitor,0,83,0,20,0,24,0,15,0,5
refactoring-core,uma.master.isia.refactoring,ForMarkerVisitor,0,90,0,20,0,25,0,15,0,5
refactoring-core,uma.master.isia.refactoring,LoopRewriterFirst,21,282,11,29,2,68,9,16,0,5
refactoring-core,uma.master.isia.refactoring,ForToWhileVisitor,0,235,2,22,0,53,2,13,0,3
refactoring-core,uma.master.isia.refactoring,RefactoringEngine,3,240,0,4,1,61,1,10,1,8
refactoring-core,uma.master.isia.refactoring,LoopRewriterFinal,3,491,10,60,1,128,9,36,0,10
refactoring-core,uma.master.isia.refactoring,ExceptionAnnotator.new ASTVisitor() {...},0,38,0,4,0,10,0,5,0,3
refactoring-core,uma.master.isia.refactoring,ForEachToWhileVisitor.ForEachKind,0,27,0,0,0,5,0,1,0,1
refactoring-core,uma.master.isia.refactoring,FlowAnnotator.new ASTVisitor() {...},0,26,0,0,0,5,0,3,0,3
refactoring-core,uma.master.isia.refactoring,ExceptionAnnotator,3,30,0,2,1,9,1,3,1,2
refactoring-core,uma.master.isia.refactoring,ForEachToWhileVisitor.ConversionResult,0,9,0,0,0,4,0,1,0,1
refactoring-core,uma.master.isia.refactoring,FlowAnnotator,43,359,14,76,7,91,11,39,0,5
refactoring-core,uma.master.isia.refactoring,ForEachToWhileVisitor,70,769,24,48,12,197,18,38,1,19
